decoder,contrast,alignment,peak_BAC_BG,peak_BAC_CB,winner,test,W_stat,p_value,significant,n
SVM,Push / Pull,Init,0.8037,0.8536,CB,wilcoxon_paired,3.0,0.3125,False,5
SVM,Push / Pull,Reach,0.7597,0.8224,CB,wilcoxon_paired,1.0,0.125,False,5
SVM,Dominant,Init,0.8154,0.8195,CB,wilcoxon_paired,5.0,0.625,False,5
SVM,Dominant,Reach,0.8438,0.9029,CB,wilcoxon_paired,3.0,0.3125,False,5
SVM,Center,Init,0.7664,0.7398,BG,wilcoxon_paired,0.0,0.0625,False,5
SVM,Center,Reach,0.7697,0.7801,CB,wilcoxon_paired,5.0,0.625,False,5
SVM,Non-dominant,Init,0.7808,0.7733,BG,wilcoxon_paired,4.0,0.4375,False,5
SVM,Non-dominant,Reach,0.8027,0.828,CB,wilcoxon_paired,5.0,0.625,False,5
LDA,Push / Pull,Init,0.8101,0.837,CB,wilcoxon_paired,3.0,0.3125,False,5
LDA,Push / Pull,Reach,0.6956,0.7597,CB,wilcoxon_paired,0.0,0.0625,False,5
LDA,Dominant,Init,0.7306,0.7787,CB,wilcoxon_paired,1.0,0.125,False,5
LDA,Dominant,Reach,0.7987,0.8414,CB,wilcoxon_paired,4.0,0.4375,False,5
LDA,Center,Init,0.6748,0.7104,CB,wilcoxon_paired,1.0,0.125,False,5
LDA,Center,Reach,0.6901,0.729,CB,wilcoxon_paired,3.0,0.3125,False,5
LDA,Non-dominant,Init,0.6873,0.7395,CB,wilcoxon_paired,0.0,0.0625,False,5
LDA,Non-dominant,Reach,0.7327,0.778,CB,wilcoxon_paired,0.0,0.0625,False,5
Naive Bayes,Push / Pull,Init,0.8254,0.8285,CB,wilcoxon_paired,6.0,0.8125,False,5
Naive Bayes,Push / Pull,Reach,0.7229,0.7649,CB,wilcoxon_paired,4.0,0.4375,False,5
Naive Bayes,Dominant,Init,0.7758,0.7818,CB,wilcoxon_paired,7.0,1.0,False,5
Naive Bayes,Dominant,Reach,0.8296,0.8568,CB,wilcoxon_paired,7.0,1.0,False,5
Naive Bayes,Center,Init,0.7081,0.7091,CB,wilcoxon_paired,6.0,0.8125,False,5
Naive Bayes,Center,Reach,0.7041,0.7169,CB,wilcoxon_paired,4.0,0.4375,False,5
Naive Bayes,Non-dominant,Init,0.7457,0.7365,BG,wilcoxon_paired,7.0,1.0,False,5
Naive Bayes,Non-dominant,Reach,0.7671,0.7737,CB,wilcoxon_paired,6.0,0.8125,False,5
Kalman,Push / Pull,Init,0.8751,0.8461,BG,wilcoxon_paired,0.0,0.0625,False,5
Kalman,Push / Pull,Reach,0.7619,0.8144,CB,wilcoxon_paired,0.0,0.0625,False,5
Kalman,Dominant,Init,0.811,0.8243,CB,wilcoxon_paired,4.0,0.4375,False,5
Kalman,Dominant,Reach,0.8642,0.882,CB,wilcoxon_paired,1.0,0.125,False,5
Kalman,Center,Init,0.7539,0.7442,BG,wilcoxon_paired,2.0,0.1875,False,5
Kalman,Center,Reach,0.7742,0.7735,BG,wilcoxon_paired,7.0,1.0,False,5
Kalman,Non-dominant,Init,0.768,0.7704,CB,wilcoxon_paired,7.0,1.0,False,5
Kalman,Non-dominant,Reach,0.7901,0.8174,CB,wilcoxon_paired,2.0,0.1875,False,5
